x,y
2.1824045888238848,2.0987433790112213
2.0685008075980353,2.220171770680317
2.323348018443019,1.8574365769502605
1.8977108841290065,2.1900417356396518
1.8531915784540578,2.1680855293782835
1.8943781510123892,1.8724107265955865
1.8566524395261736,2.108960980496334
2.2466059299652925,1.8394894702586155
1.9879048779948183,2.0735732107504603
1.8216258032527028,1.9576393434375448
2.138080555729493,2.1319108437495364
1.8313915055254208,1.8982835641550913
2.0014847681943215,2.1915331286715616
2.2905155428695783,1.8817201680489655
2.009597807871518,2.1816732917301356
1.7767668092534836,1.9305737575430442
1.9224638533644967,2.1196730127585046
1.7307133967910915,2.005436733789326
2.073429611888877,2.1918225780229053
2.0546133244407656,2.0527346538012137
1.8190839422553413,2.064938468145827
1.9516060477172414,1.6179750703257962
1.9919038802317768,2.09434067179707
2.240608758715385,1.9692673900409026
1.6311682308388986,2.1143482993805387
2.333301099923512,2.005316976452502
2.2027048791673405,2.0094377213449484
2.1847478938805325,2.2572074436624256
1.7647737801566679,2.2322050111024154
2.0252167546186235,1.7813084964410943
2.090548977204562,1.9518693777909344
2.0683259086785983,1.819924373212844
2.4950754202831806,2.1678917391250825
2.2731165610781834,1.8613658625902005
2.3589540099713937,2.1998010620594353
2.3114752092111304,2.0263357982393915
1.8115062684260388,2.1606806945362327
2.4645006029169814,1.690296101776912
1.7646406314880272,2.250087894191386
2.03120464756935,2.31319786029426
2.0278222200761187,1.8634812953823165
2.0920360603707655,1.8192031352145
2.0952437343746726,2.2590526803900364
1.9539905318230022,1.8403469857978951
2.00727212748084,1.8562865650209457
1.672561337973536,2.0583007133768407
2.0134887038457596,1.9507583348125532
1.9907959652877416,1.8909832265216266
2.3875572645507925,1.9523071652147004
1.9969240356855422,1.9767904026866119
1.8040014918192613,1.87519770883517
1.7007208089863706,1.8904310227373153
2.331033781201251,2.2872186675867576
2.123171127113517,1.9496030574266852
2.1080831374809805,1.5575520333007666
1.8239112215130056,2.071660427712835
2.3542185028736955,1.5311259788904328
1.9140384758154638,2.01772271188449
1.7185359743731479,2.2423698599675737
1.8993981760603356,1.956092124525055
2.2045086126998887,1.8278993245993198
1.995428938120307,1.788489919395819
2.039974032804841,2.0332156014429428
2.0762621939174397,1.916134349411328
2.0551567327610947,1.7666232507554425
1.8561285671090257,2.019332495476102
2.2977244884877717,2.2926754542736423
1.9783901467922818,2.0717511287725845
2.322843115666208,1.874940420181372
1.937504233192246,1.9799401478196765
1.8510280867319482,1.9114320030103378
2.1920579486939333,2.1488714707901555
2.2363928005180456,1.9288345571812937
1.6999687037267848,2.024227696160818
1.5392436381130874,1.9558929205845765
2.332925736638307,1.956174226745893
1.9898182273751701,1.9826194919505007
1.9461940816270298,2.0224431119830264
1.5987715867960668,2.092342124047505
1.8618285490276776,1.9066315280171617
2.3534671113665566,1.9544130717892374
2.125372759521445,2.041829017757238
1.932081309373007,2.3156649448431543
1.6944059539270584,2.127256107562976
2.253748334849238,2.0764248083694072
1.97873541533199,2.21757277122104
1.8792072557596347,2.004900156477555
2.1968772735849798,2.0512963248777707
2.1278904181471114,1.9857310470070153
2.159353683638582,2.20340383067475
1.7249635362967266,1.4566307640237621
2.1483457816580227,2.0044835036811337
1.8511299346483405,2.22646745100925
2.0346104215202674,1.857717225541631
2.2799578637044693,2.245306948800502
2.2844789431501535,2.3360340925998946
2.3437921354047497,2.088194274092707
2.1895383009516607,2.0257502806742287
2.32607561126449,1.739404532021007
2.109161237938532,1.446570012752054
2.013643235058463,1.5986726043153963
2.140313677014203,1.9757543133932152
2.1724940330724927,2.0655644725250015
2.11658887254598,1.990688020987886
2.180611211414795,2.229616195401253
1.851061538149818,2.395359725132943
2.112807897531636,1.857962221269525
1.8095073539103497,2.0587876219611547
1.3815376205175247,1.7589365320024044
2.1071087708684137,1.9000071064503075
2.0474109581032143,1.9434531299818767
2.0673794767955083,1.640030549356001
2.0609199577724278,1.7731022467996504
1.5899622099250033,2.0420710962389763
2.063622705966186,1.740041729473688
2.134205159455473,1.7860132964947126
1.7674798890037993,1.8801188773351662
